Key,Sinhala
PD1-3-1-1,ආකාසානඤ්චායතනය කුසල් සිත
PD1-3-1-2,විඤ්ඤාණඤ්චායතන කුසල් සිත
PD1-3-1-3,ආකිඤ්චඤ්ඤායතන කුසල් සිත
PD1-3-1-4,නේවසඤ්ඤා නාසඤ්ඤායතන කුසල් සිත
PD1-3-2,අරූපාවචර විපාක සිත් 04 
PD1-3-2-1,ආකාසානඤ්චායතනය විපාක සිත
PD1-3-2-2,විඤ්ඤාණඤ්චායතන විපාක සිත
PD1-3-2-3,ආකිඤ්චඤ්ඤායතන විපාක සිත
PD1-3-2-4,නේවසඤ්ඤා නාසඤ්ඤායතන විපාක සිත
PD1-3-3,අරූපාවචර ක්‍රියාසිත් 04
PD1-3-3-1,ආකාසානඤ්චායතනය විපාක සිත
PD1-3-3-2,විඤ්ඤාණඤ්චායතන විපාක සිත
PD1-3-3-3,ආකිඤ්චඤ්ඤායතන විපාක සිත
PD1-3-3-4,නේවසඤ්ඤා නාසඤ්ඤායතන විපාක සිත
PD1-4,ලෝකෝත්තර සිත් 8 හෝ 40
PD1-4-1,ධ්‍යාන ලැබූවන් උපදවනා ලෝකෝත්තර සිත් 08
PD1-4-1-1,ලෝකෝත්තර මග්ග සිත් 04 I
PD1-4-1-1-1,සෝතාපත්ති මග්ග චිත්ත
PD1-4-1-1-2,සකදාගාමී මග්ග චිත්ත
PD1-4-1-1-3,අනාගාමී මග්ග චිත්ත
PD1-4-1-1-4,අරහත්ත මග්ග චිත්ත
PD1-4-1-2,ලෝකොත්තර ඵල සිත් 04 I
PD1-4-1-2-1,සෝතාපත්ති ඵල චිත්ත
PD1-4-1-2-2,සකදාගාමී ඵල චිත්ත
PD1-4-1-2-3,අනාගාමී ඵල චිත්ත
PD1-4-1-2-4,අරහත්ත ඵල චිත්ත
PD1-4-2,ධ්‍යාන නොලැබූවන් උපදවනා ලෝකෝත්තර සිත් 40
PD1-4-2-1,ලෝකෝත්තර මග්ග සිත් 04 II
PD1-4-2-1-1,ප්‍රථම ධ්‍යාන සෝතාපත්ති මග්ග චිත්ත
PD1-4-2-1-2,ද්විතීය ධ්‍යාන සෝතාපත්ති මග්ග චිත්ත
PD1-4-2-1-3,තෘතීක ධ්‍යාන සෝතාපත්ති මග්ග චිත්ත
PD1-4-2-1-4,චතුර්ථ ධ්‍යාන සෝතාපත්ති මග්ග චිත්ත
PD1-4-2-1-5,පඤ්චම ධ්‍යාන සෝතාපත්ති මග්ග චිත්ත
PD1-4-2-1-6,ප්‍රථම ධ්‍යාන සකදාගාමී මග්ග චිත්ත
PD1-4-2-1-7,ද්විතීය ධ්‍යාන සකදාගාමී මග්ග චිත්ත
PD1-4-2-1-8,තෘතීක ධ්‍යාන සකදාගාමී මග්ග චිත්ත
PD1-4-2-1-9,චතුර්ථ ධ්‍යාන සකදාගාමී මග්ග චිත්ත
PD1-4-2-1-10,පඤ්චම ධ්‍යාන සකදාගාමී මග්ග චිත්ත
PD1-4-2-1-11,ප්‍රථම ධ්‍යාන අනාගාමී මග්ග චිත්ත
PD1-4-2-1-12,ද්විතීය ධ්‍යාන අනාගාමී මග්ග චිත්ත
PD1-4-2-1-13,තෘතීක ධ්‍යාන අනාගාමී මග්ග චිත්ත
PD1-4-2-1-14,චතුර්ථ ධ්‍යාන අනාගාමී මග්ග චිත්ත
PD1-4-2-1-15,පඤ්චම ධ්‍යාන අනාගාමී මග්ග චිත්ත
PD1-4-2-1-16,ප්‍රථම ධ්‍යාන අරහත්ත  මග්ග චිත්ත
PD1-4-2-1-17,ද්විතීය ධ්‍යාන අරහත්ත  මග්ග චිත්ත
PD1-4-2-1-18,තෘතීක ධ්‍යාන අරහත්ත  මග්ග චිත්ත
PD1-4-2-1-19,චතුර්ථ ධ්‍යාන අරහත්ත  මග්ග චිත්ත
PD1-4-2-1-20,පඤ්චම ධ්‍යාන අරහත්ත  මග්ග චිත්ත
PD1-4-2-2,ලෝකොත්තර ඵල සිත් 04 II
PD1-4-2-2-1,රථම ධ්‍යාන සෝතාපත්ති ඵල චිත්ත
PD1-4-2-2-2,ද්විතීය ධ්‍යාන සෝතාපත්ති ඵල චිත්ත
PD1-4-2-2-3,තෘතීක ධ්‍යාන සෝතාපත්ති ඵල චිත්ත
PD1-4-2-2-4,චතුර්ථ ධ්‍යාන සෝතාපත්ති ඵල චිත්ත
PD1-4-2-2-5,පඤ්චම ධ්‍යාන සෝතාපත්ති ඵල චිත්ත
PD1-4-2-2-6,ප්‍රථම ධ්‍යාන සකදාගාමී ඵල චිත්ත
PD1-4-2-2-7,ද්විතීය ධ්‍යාන සකදාගාමී ඵල චිත්ත
PD1-4-2-2-8,තෘතීක ධ්‍යාන සකදාගාමී ඵල චිත්ත
PD1-4-2-2-9,චතුර්ථ ධ්‍යාන සකදාගාමී ඵල චිත්ත
PD1-4-2-2-10,පඤ්චම ධ්‍යාන සකදාගාමී ඵල චිත්ත
PD1-4-2-2-11,ප්‍රථම ධ්‍යාන අනාගාමී ඵල චිත්ත
PD1-4-2-2-12,ද්විතීය ධ්‍යාන අනාගාමී ඵල චිත්ත
PD1-4-2-2-13,තෘතීක ධ්‍යාන අනාගාමී ඵල චිත්ත
PD1-4-2-2-14,චතුර්ථ ධ්‍යාන අනාගාමී ඵල චිත්ත
PD1-4-2-2-15,පඤ්චම ධ්‍යාන අනාගාමී ඵල චිත්ත
PD1-4-2-2-16,ප්‍රථම ධ්‍යාන අරහත්ත  ඵල චිත්ත
PD1-4-2-2-17,ද්විතීය ධ්‍යාන අරහත්ත  ඵල චිත්ත
PD1-4-2-2-18,තෘතීක ධ්‍යාන අරහත්ත  ඵල චිත්ත
PD1-4-2-2-19,චතුර්ථ ධ්‍යාන අරහත්ත  ඵල චිත්ත
PD1-4-2-2-20,පඤ්චම ධ්‍යාන අරහත්ත  ඵල චිත්ත
